Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,src_Name,src_IATA,src_City,src_Country,src_Latitude,src_Longitude,dest_Name,dest_IATA,dest_City,dest_Country,dest_Latitude,dest_Longitude
LH,3320,SKG,1486,FRA,340,Y,0,321,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,SKG,1486,MUC,346,Y,0,320,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,SKG,1486,STR,350,Y,0,320,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775
LH,3320,SNN,603,EWR,3494,Y,0,752,Shannon Airport,SNN,Shannon,Ireland,52.702,-8.92482,Newark Liberty International Airport,EWR,Newark,United States,40.69250106811523,-74.168701171875
LH,3320,SPU,1206,DUS,345,Y,0,319,Split Airport,SPU,Split,Croatia,43.53889846801758,16.29800033569336,Düsseldorf Airport,DUS,Duesseldorf,Germany,51.289501,6.766780000000002
LH,3320,SPU,1206,MUC,346,Y,0,DH4 CR9,Split Airport,SPU,Split,Croatia,43.53889846801758,16.29800033569336,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,STR,350,EWR,3494,Y,0,752,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Newark Liberty International Airport,EWR,Newark,United States,40.69250106811523,-74.168701171875
LH,3320,STR,350,GRZ,1609,Y,0,DH4,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Graz Airport,GRZ,Graz,Austria,46.9911003112793,15.439599990844727
LH,3320,STR,350,MUC,346,Y,0,CR9 CR7 E95,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,STR,350,SKG,1486,Y,0,320,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918
LH,3320,STR,350,VIE,1613,Y,0,319 100 F70 320 DH4,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002
LH,3320,STR,350,ZRH,1678,Y,0,100 AR1 319,Stuttgart Airport,STR,Stuttgart,Germany,48.6898994446,9.22196006775,Zürich Airport,ZRH,Zurich,Switzerland,47.464699,8.54917
LH,3320,SUF,1508,MUC,346,Y,0,319,Lamezia Terme Airport,SUF,Lamezia,Italy,38.905399,16.2423,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,SZG,1612,FRA,340,Y,0,100,Salzburg Airport,SZG,Salzburg,Austria,47.793300628699996,13.0043001175,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,TIA,1190,MUC,346,Y,0,E95,Tirana International Airport Mother Teresa,TIA,Tirana,Albania,41.4146995544,19.7206001282,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,TLS,1273,MUC,346,Y,0,E95 319 CR9,Toulouse-Blagnac Airport,TLS,Toulouse,France,43.629101,1.36382,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,TOS,663,ALF,632,Y,0,73G,"Tromsø Airport,",TOS,Tromso,Norway,69.68329620361328,18.91889953613281,Alta Airport,ALF,Alta,Norway,69.976097106934,23.371700286865
LH,3320,TRN,1526,MUC,346,Y,0,E95,Turin Airport,TRN,Torino,Italy,45.200802,7.64963,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,TRS,1545,MUC,346,Y,0,CR7 CR9,Trieste–Friuli Venezia Giulia Airport,TRS,Ronchi De Legionari,Italy,45.827499,13.4722,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,TSR,1663,MUC,346,Y,0,CR9 E95,Timişoara Traian Vuia Airport,TSR,Timisoara,Romania,45.80989837646485,21.337900161743164,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,TXL,351,ARN,737,Y,0,73H 717 73W 736,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Stockholm-Arlanda Airport,ARN,Stockholm,Sweden,59.651901245116996,17.918600082397
LH,3320,TXL,351,ATH,3941,Y,0,320,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Eleftherios Venizelos International Airport,ATH,Athens,Greece,37.9364013672,23.944499969499997
LH,3320,TXL,351,BRU,302,Y,0,319 AR1 320,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Brussels Airport,BRU,Brussels,Belgium,50.9014015198,4.48443984985
LH,3320,TXL,351,CPH,609,Y,0,320 CR2 321 319 CR9,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Copenhagen Kastrup Airport,CPH,Copenhagen,Denmark,55.617900848389,12.656000137328999
LH,3320,TXL,351,EWR,3494,Y,0,752,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877,Newark Liberty International Airport,EWR,Newark,United States,40.69250106811523,-74.168701171875
